'headings','words','POStags'
'Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide','Dopamine/Dopamine|AgonistsGlucocorticoidsOctreotide','NN|NN'
'Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide','Dopamine/Dopamine|AgonistsGlucocorticoidsOctreotide','NN|NN'
'Dopamine/Dopamine Agonists Glucocorticoids Octreotide','Dopamine/Dopamine|Agonists|Glucocorticoids|Octreotide','NN|NNS|NNS|NN'
'Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide','Dopamine/Dopamine|AgonistsGlucocorticoidsOctreotide','NN|NN'
"'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)'","'Drug|Interactions|Associated|with|Increased|Risk|of|Myopathy/Rhabdomyolysis|(|2.6|,|5.1|,|7|,|12.3|)'","'NN|NNS|VBN|IN|VBN|NN|IN|NN|(|CD|,|CD|,|CD|,|CD|)'"
"'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis ( , , , )\2.6\5.1\7\12.3\'",'',''
"'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)'","'Drug|Interactions|Associated|with|Increased|Risk|of|Myopathy/Rhabdomyolysis|(|2.6|,|5.1|,|7|,|12.3|)'","'NN|NNS|VBN|IN|VBN|NN|IN|NN|(|CD|,|CD|,|CD|,|CD|)'"
'Duloxetine','Duloxetine','NN'
'Efavirenz* \','',''
'Efavirenz*DelavirdineEtravirineRilpivirine','Efavirenz*DelavirdineEtravirineRilpivirine','NN'
'Ergot alkaloids: Ergotamine\','',''
'Erythromycin','Erythromycin','NN'
'Erythromycin','Erythromycin','NN'
'Erythromycin','Erythromycin','NN'
'Erythromycin','Erythromycin','NN'
'Estrogen-containing oral contraceptive preparations containing 30 mcg ethinylestradiol and 150 mcg levonorgestrel','Estrogen-containing|oral|contraceptive|preparations|containing|30|mcg|ethinylestradiol|and|150|mcg|levonorgestrel','JJ|JJ|JJ|NNS|VBG|CD|NN|NN|CC|CD|NN|NN'
'Estrogen-containing oral contraceptivepreparation containing30 mcg ethinylestradioland 150 mcglevonorgestrel','Estrogen-containing|oral|contraceptivepreparation|containing30|mcg|ethinylestradioland|150|mcglevonorgestrel','JJ|JJ|NN|NN|NN|NN|CD|NN'
'Estrogen-containing oralcontraceptive preparations containing 30 mcg ethinylestradiol and 150 mcg levonorgestrel','Estrogen-containing|oralcontraceptive|preparations|containing|30|mcg|ethinylestradiol|and|150|mcg|levonorgestrel','JJ|JJ|NNS|VBG|CD|NN|NN|CC|CD|NN|NN'
'Fluoxetine','Fluoxetine','NN'
'Fluoxetine','Fluoxetine','NN'
'Fluoxetine','Fluoxetine','NN'
'Fluoxetine','Fluoxetine','NN'
'Fluoxetine','Fluoxetine','NN'
'Fluoxetine\','',''
'Fosamprenavir* Fosamprenavir/Ritonavir* \','',''
'Fosamprenavir*\','',''
'Fosamprenavir/ Ritonavir*\','',''
'Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)','Furosemide|(|>|80|mg|IV|)|HeparinHydantoinsNon|Steroidal|Anti-lnflammatory|Drugs-|Fenamates-|PhenylbutazoneSalicylates|(|>|2|g/day|)','NN|(|SYM|CD|NN|CD|)|NNP|NNP|JJ|NNP|NNP|NNP|(|JJR|CD|NN|)'
'Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)','Furosemide|(|>|80|mg|IV|)|HeparinHydantoinsNon|Steroidal|Anti-lnflammatory|Drugs-|Fenamates-|PhenylbutazoneSalicylates|(|>|2|g/day|)','NN|(|SYM|CD|NN|CD|)|NNP|NNP|JJ|NNP|NNP|NNP|(|JJR|CD|NN|)'
'Furosemide ( > 80 mg IV) Heparin Hydantoins Non Steroidal Anti-lnflammatory Drugs - Fenamates - Phenylbutazone Salicylates ( > 2 g/day)','Furosemide|(|>|80|mg|IV|)|Heparin|Hydantoins|Non|Steroidal|Anti-lnflammatory|Drugs|-|Fenamates|-|Phenylbutazone|Salicylates|(|>|2|g/day|)','NN|(|SYM|CD|NN|CD|)|NNP|NNP|NNP|NNP|NNP|NNP|HYPH|NNP|HYPH|NN|NNS|(|JJR|CD|NN|)'
'Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-Inflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)','Furosemide|(|>|80|mg|IV|)|HeparinHydantoinsNon|Steroidal|Anti-Inflammatory|Drugs-|Fenamates-|PhenylbutazoneSalicylates|(|>|2|g/day|)','NN|(|SYM|CD|NN|CD|)|NNP|NNP|JJ|NNP|NNP|NNP|(|JJR|CD|NN|)'
'Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)','Furosemide|(|>|80|mg|IV|)|HeparinHydantoinsNon|Steroidal|Anti-lnflammatory|Drugs-|Fenamates-|PhenylbutazoneSalicylates|(|>|2|g/day|)','NN|(|SYM|CD|NN|CD|)|NNP|NNP|JJ|NNP|NNP|NNP|(|JJR|CD|NN|)'
'Grapefruitjuice','Grapefruitjuice','NNP'
'Growth Hormones- Somatrem- Somatropin','Growth|Hormones-|Somatrem-|Somatropin','NN|NNP|NNP|NNP'
'Growth Hormones- Somatrem- Somatropin','Growth|Hormones-|Somatrem-|Somatropin','NN|NNP|NNP|NNP'
'Growth Hormones - Somatrem - Somatropin','Growth|Hormones|-|Somatrem|-|Somatropin','NN|NNS|HYPH|NN|HYPH|NN'
'Growth Hormones- Somatrem- Somatropin','Growth|Hormones-|Somatrem-|Somatropin','NN|NNP|NNP|NNP'
'Heparin','Heparin','NN'
'I. Due to the competition of salicylate with other drugs for binding to serum albumin the following drug interactions may occur:\','',''
"'Immunosuppressants: Cyclosporine, tacrolimus, sirolimus\'",'',''
"'Increased Risk of Myopathy/Rhabdomyolysis (2, 5.1, 7, 12.3)'","'Increased|Risk|of|Myopathy/Rhabdomyolysis|(|2|,|5.1|,|7|,|12.3|)'","'VBN|NN|IN|NN|(|CD|,|CD|,|CD|,|CD|)'"
'Indinavir* \','',''
'Indinavir* \','',''
'Itraconazole\','',''
'Ketamine','Ketamine','NN'
'Ketoconazole*\','',''
'Lomitapide','Lomitapide','NNP'
'Lopinavir/ritonavir','Lopinavir/ritonavir','NN'
'Lopinavir/Ritonavir*\','',''
'Lopinavir/Ritonavir* \','',''
"'Methylxanthine Bronchodilators- (e.g., Theophylline)'","'Methylxanthine|Bronchodilators-|(|e.g.|,|Theophylline|)'","'NN|NN|(|FW|,|NN|)'"
"'Methylxanthine Bronchodilators- (e.g., Theophylline)'","'Methylxanthine|Bronchodilators-|(|e.g.|,|Theophylline|)'","'NN|NN|(|FW|,|NN|)'"
"'Methylxanthine Bronchodilators - (e.g., Theophylline)'","'Methylxanthine|Bronchodilators|-|(|e.g.|,|Theophylline|)'","'NN|NNS|:|(|FW|,|NN|)'"
"'Methylxanthine Bronchodilators- (e.g., Theophylline)'","'Methylxanthine|Bronchodilators-|(|e.g.|,|Theophylline|)'","'NN|NN|(|FW|,|NN|)'"
'Motility agents: Cisapride\','',''
'nafcillin','nafcillin','NN'
'Nelfinavir*\','',''
'Nelfinavir* \','',''
'Opiate agonists: Fentanyl\','',''
'Oral contraceptives: Ethinyl estradiol and Norethindrone*\','',''
'Paroxetine','Paroxetine','NN'
'Paroxetine','Paroxetine','NN'
'Paroxetine','Paroxetine','NN'
'Paroxetine','Paroxetine','NN'
'Paroxetine','Paroxetine','NN'
'Paroxetine\','',''
'Phenobarbital\','',''
'Phenobarbital','Phenobarbital','NN'
'Phenytoin \','',''
'Phenytoin','Phenytoin','NN'
'Probenecid','Probenecid','NNP'
'Probenecid ','Probenecid','NNP'
'Probenecid \','',''
'Protease inhibitor:atazanavir','Protease|inhibitor|:|atazanavir','NN|NN|:|NN'
'Ranitidine','Ranitidine','NN'
'Ranitidine','Ranitidine','NN'
'Ranitidine\','',''
'Rifabutin*\','',''
'Rifampin*\','',''
'Ropinirole','Ropinirole','NNP'
'Saquinavir/ritonavir\','',''
'Saquinavir/Ritonavir \','',''
'Sildenafil','Sildenafil','NN'
'Telaprevir\','',''
'Theophylline','Theophylline','NN'
'Tizanidine','Tizanidine','NN'
'Tolbutamide; Sulfonylureas ','Tolbutamide|;|Sulfonylureas','NN|:|NNS'
'Valproic acid \','',''
"'Verapamil,diltiazem,dronedarone'","'Verapamil|,|diltiazem|,|dronedarone'","'NN|,|NN|,|NN'"
'Ibuprofen and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of ibuprofen and anticoagulants have an increased risk of serious bleeding compared to the use of either drug alone.Serotonin release by platelets plays an important role in hemostasis. Case-control and cohort epidemiological studies showed that concomitant use of drugs that interfere with serotonin reuptake and an NSAID may potentiate the risk of bleeding more than an NSAID alone.','Ibuprofen|and|anticoagulants|such|as|warfarin|have|a|synergistic|effect|on|bleeding.|The|concomitant|use|of|ibuprofen|and|anticoagulants|have|an|increased|risk|of|serious|bleeding|compared|to|the|use|of|either|drug|alone.Serotonin|release|by|platelets|plays|an|important|role|in|hemostasis.|Case-control|and|cohort|epidemiological|studies|showed|that|concomitant|use|of|drugs|that|interfere|with|serotonin|reuptake|and|an|NSAID|may|potentiate|the|risk|of|bleeding|more|than|an|NSAID|alone|.','NN|CC|NNS|JJ|IN|NN|VBP|DT|JJ|NN|IN|NN|DT|JJ|NN|IN|NN|CC|NNS|VBP|DT|VBN|NN|IN|JJ|NN|VBN|TO|DT|NN|IN|CC|NN|NN|NN|IN|NNS|VBZ|DT|JJ|NN|IN|NN|NN|CC|JJ|JJ|NNS|VBD|IN|JJ|NN|IN|NNS|WDT|VBP|IN|NN|NN|CC|DT|NN|MD|VB|DT|NN|IN|VBG|JJR|IN|DT|NN|RB|.'
'Refrigerated(4C)','Refrigerated|(|4C|)','VBN|(|NN|)'
'Storage','Storage','NN'
"'Table 3 Established and Potential Drug Interactions: Use With Caution, Alteration in Dose or Regimen May Be Needed Due to Drug Interaction Established Drug Interactions: See Clinical Pharmacology (12.3), Table 4 for Magnitude of Interaction. '","'Table|3|Established|and|Potential|Drug|Interactions|:|Use|With|Caution|,|Alteration|in|Dose|or|Regimen|May|Be|Needed|Due|to|Drug|Interaction|Established|Drug|Interactions|:|See|Clinical|Pharmacology|(|12.3|)|,|Table|4|for|Magnitude|of|Interaction|.'","'JJ|CD|NNP|CC|NNP|NNP|NNP|:|NN|IN|NN|,|NN|IN|NN|CC|NN|NNP|NNP|NNP|NNP|TO|NNP|NNP|NNP|NNP|NNPS|:|NNP|NNP|NNP|(|CD|)|,|JJ|CD|IN|NN|IN|NN|.'"
"'Table 1	Oral drugs that can be administered concomitantly with Velphoro'",'Table|1|Oral|drugs|that|can|be|administered|concomitantly|with|Velphoro','JJ|CD|NNP|NNS|WDT|MD|VB|VBN|RB|IN|NNP'
'Table II. Clinically Significant Drug Interactions With Theophylline*','Table|II.|Clinically|Significant|Drug|Interactions|With|Theophylline*','JJ|NNP|NNP|NNP|NNP|NNP|IN|NNP'
'Table III. Drugs That Have Been Documented Not to Interact With Theophylline or Drugs That Produce No Clinically Significant Interaction With Theophylline*','Table|III.|Drugs|That|Have|Been|Documented|Not|to|Interact|With|Theophylline|or|Drugs|That|Produce|No|Clinically|Significant|Interaction|With|Theophylline*','JJ|NNP|NNP|NNP|NNP|NNP|NNP|NNP|TO|VB|IN|NN|CC|NNP|NNP|NNP|NNP|NNP|JJ|NN|IN|NN'
'% Change of CoadministeredDrug Pharmacokinetic Parameters\The 90% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.\All studies conducted in healthy volunteers at least 60 kg with creatinine clearance of at least 60 mL/min.','%|Change|of|CoadministeredDrug|Pharmacokinetic|Parameters\The|90|%|confidence|intervals|for|the|percent|change|in|the|pharmacokinetic|parameter|are|displayed.\All|studies|conducted|in|healthy|volunteers|at|least|60|kg|with|creatinine|clearance|of|at|least|60|mL/min|.','NN|NNP|IN|NNP|NNP|NNP|CD|NN|NN|NNS|IN|DT|NN|NN|IN|DT|JJ|NN|VBP|NN|NNS|VBN|IN|JJ|NNS|IN|JJS|CD|NN|IN|NN|NN|IN|IN|JJS|CD|NN|.'
'% Change of Coadministered DrugPharmacokinetic Parameters\The 95% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.','%|Change|of|Coadministered|DrugPharmacokinetic|Parameters\The|95|%|confidence|intervals|for|the|percent|change|in|the|pharmacokinetic|parameter|are|displayed|.','NN|NN|IN|VBN|JJ|NNP|CD|NN|NN|NNS|IN|DT|NN|NN|IN|DT|JJ|NN|VBP|VBN|.'
'% Change of Didanosine Pharmacokeinetic Parameters\The 95% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.','%|Change|of|Didanosine|Pharmacokeinetic|Parameters\The|95|%|confidence|intervals|for|the|percent|change|in|the|pharmacokinetic|parameter|are|displayed|.','NN|NN|IN|NN|JJ|NNP|CD|NN|NN|NNS|IN|DT|NN|NN|IN|DT|JJ|NN|VBP|VBN|.'
'% Change of Didanosine Pharmacokinetic Parameters\The 90% confidence intervals for the percent change in the pharmacokinetic parameter are displayed.','%|Change|of|Didanosine|Pharmacokinetic|Parameters\The|90|%|confidence|intervals|for|the|percent|change|in|the|pharmacokinetic|parameter|are|displayed|.','NN|NN|IN|NN|JJ|NNP|CD|NN|NN|NNS|IN|DT|NN|NN|IN|DT|JJ|NN|VBP|VBN|.'
'12 to 18 years(n=6)','12|to|18|years|(|n=6|)','CD|TO|CD|NNS|(|NN|)'
'2 to <6\years(n=12)','2|to|<|6\years|(|n=12|)','CD|TO|JJR|NNS|(|NN|)'
'6 to <12\years(n=8)','6|to|<|12\years|(|n=8|)','CD|TO|SYM|NNS|(|NN|)'
'Atazanavir 300 mg/100 mg?28 (?40 to ?14)','Atazanavir|300|mg/100|mg|?|28|(|?|40|to|?|14|)','NN|CD|NN|NN|.|CD|(|.|CD|TO|.|CD|)'
'Atazanavir 300 mg/100 mg?42 (?52 to ?29)','Atazanavir|300|mg/100|mg|?|42|(|?|52|to|?|29|)','NN|CD|NN|NN|.|CD|(|.|CD|TO|.|CD|)'
'Atazanavir 300 mg/100 mg?72 (?80 to ?60)','Atazanavir|300|mg/100|mg|?|72|(|?|80|to|?|60|)','NN|CD|NN|NN|.|CD|(|.|CD|TO|.|CD|)'
'Atazanavir 300 mg/100 mg?28 (?40 to ?14)','Atazanavir|300|mg/100|mg|?|28|(|?|40|to|?|14|)','NN|CD|NN|NN|.|CD|(|.|CD|TO|.|CD|)'
'Atazanavir 300 mg/100 mg?42 (?52 to ?29)','Atazanavir|300|mg/100|mg|?|42|(|?|52|to|?|29|)','NN|CD|NN|NN|.|CD|(|.|CD|TO|.|CD|)'
'Atazanavir 300 mg/100 mg?72 (?80 to ?60)','Atazanavir|300|mg/100|mg|?|72|(|?|80|to|?|60|)','NN|CD|NN|NN|.|CD|(|.|CD|TO|.|CD|)'
'200 mg BID day 1 to 23. Subjects were treated with nevirapine prior to trial entry.','200|mg|BID|day|1|to|23.|Subjects|were|treated|with|nevirapine|prior|to|trial|entry|.','CD|NN|NN|NN|CD|TO|CD|NNS|VBD|VBN|IN|NN|JJ|TO|NN|NN|.'
'23','23','CD'
"'300 mg/100 mg QD day 4 to 13, then 400 mg/100 mg QD, day 14 to 23'","'300|mg/100|mg|QD|day|4|to|13|,|then|400|mg/100|mg|QD|,|day|14|to|23'","'CD|NN|NN|NN|NN|CD|TO|CD|,|RB|CD|NN|NN|NN|,|NN|CD|TO|CD'"
'-','-','HYPH'
'3-Hydroxydesloratadine','3-Hydroxydesloratadine','NN'
'Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate','Antacids-|Aluminum|&|Magnesium|Hydroxides-|SimethiconeBile|Acid|Sequestrants-|Cholestyramine-|ColestipolCalcium|CarbonateCation|Exchange|Resins-|KayexalateFerrous|SulfateOrlistatSucralfate','NNP|NNP|CC|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP'
'Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate','Antacids-|Aluminum|&|Magnesium|Hydroxides-|SimethiconeBile|Acid|Sequestrants-|Cholestyramine-|ColestipolCalcium|CarbonateCation|Exchange|Resins-|KayexalateFerrous|SulfateOrlistatSucralfate','NNP|NNP|CC|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP'
'Antacids - Aluminum & Magnesium Hydroxides - Simethicone Bile Acid Sequestrants - Cholestyramine - Colestipol Calcium Carbonate Cation Exchange Resins - Kayexalate Ferrous Sulfate Orlistat Sucralfate','Antacids|-|Aluminum|&|Magnesium|Hydroxides|-|Simethicone|Bile|Acid|Sequestrants|-|Cholestyramine|-|Colestipol|Calcium|Carbonate|Cation|Exchange|Resins|-|Kayexalate|Ferrous|Sulfate|Orlistat|Sucralfate','NNP|HYPH|NNP|CC|NNP|NNP|HYPH|NNP|NNP|NNP|NNPS|HYPH|NN|HYPH|NNP|NNP|NNP|NNP|NNP|NNP|HYPH|NNP|NNP|NNP|NNP|NNP'
'Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate','Antacids-|Aluminum|&|Magnesium|Hydroxides-|SimethiconeBile|Acid|Sequestrants-|Cholestyramine-|ColestipolCalcium|CarbonateCation|Exchange|Resins-|KayexalateFerrous|SulfateOrlistatSucralfate','NNP|NNP|CC|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP'
'Anti-Inflammatory Drugs\azapropazoncolchicinediclofenacnaproxensulindac','Anti-Inflammatory|Drugszapropazoncolchicinediclofenacnaproxensulindac','JJ|NN'
'Antineoplastic\melphalan\Antifungals\amphotericin Bketoconazole','Antineoplastic\melphalan\Antifungalsmphotericin|Bketoconazole','NN|NN'
'Avoidgrapefruitjuice','Avoidgrapefruitjuice','NNP'
"'Concurrent use may reduce the efficacy of levothyroxine by binding and delaying or preventing absorption, potentially resulting in hypothyroidism. Calcium carbonate may form an insoluble chelate with levothyroxine, and ferrous sulfate likely forms a ferric-thyroxine complex. Administer levothyroxine at least 4 hours apart from these agents. Patients treated concomitantly with orlistat and levothyroxine should be monitored for changes in thyroid function.'","'Concurrent|use|may|reduce|the|efficacy|of|levothyroxine|by|binding|and|delaying|or|preventing|absorption|,|potentially|resulting|in|hypothyroidism.|Calcium|carbonate|may|form|an|insoluble|chelate|with|levothyroxine|,|and|ferrous|sulfate|likely|forms|a|ferric-thyroxine|complex.|Administer|levothyroxine|at|least|4|hours|apart|from|these|agents.|Patients|treated|concomitantly|with|orlistat|and|levothyroxine|should|be|monitored|for|changes|in|thyroid|function|.'","'JJ|NN|MD|VB|DT|NN|IN|NN|IN|VBG|CC|VBG|CC|VBG|NN|,|RB|VBG|IN|NN|NN|NN|MD|VB|DT|JJ|NN|IN|NN|,|CC|JJ|NN|RB|VBZ|DT|JJ|NN|NNP|NN|IN|JJS|CD|NNS|RB|IN|DT|NN|NNS|VBN|RB|IN|NN|CC|NN|MD|VB|VBN|IN|NNS|IN|JJ|NN|.'"
'Contraindicatedwithsimvastatin','Contraindicatedwithsimvastatin','NN'
'Desloratadine','Desloratadine','NN'
'Donotexceed10mgsimvastatindaily','Donotexceed10mgsimvastatindaily','RB'
'Donotexceed20mgsimvastatindaily','Donotexceed20mgsimvastatindaily','RB'
"'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)'","'Drug|Interactions|Associated|with|Increased|Risk|of|Myopathy/Rhabdomyolysis|(|2.6|,|5.1|,|7|,|12.3|)'","'NN|NNS|VBN|IN|VBN|NN|IN|NN|(|CD|,|CD|,|CD|,|CD|)'"
"'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.2, 4, 5.2, 7.1, 7.2, 7.3, 7.4, 12.3)'","'Drug|Interactions|Associated|with|Increased|Risk|of|Myopathy/Rhabdomyolysis|(|2.2|,|4|,|5.2|,|7.1|,|7.2|,|7.3|,|7.4|,|12.3|)'","'NN|NNS|VBN|IN|VBN|NN|IN|NN|(|CD|,|CD|,|CD|,|CD|,|CD|,|CD|,|CD|,|CD|)'"
"'Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)'","'Drug|Interactions|Associated|with|Increased|Risk|of|Myopathy/Rhabdomyolysis|(|2.6|,|5.1|,|7|,|12.3|)'","'NN|NNS|VBN|IN|VBN|NN|IN|NN|(|CD|,|CD|,|CD|,|CD|)'"
'Effect\Average effect on steady-state theophylline\concentration or other clinical effect for\pharmacologic interactions. Individual patients\may experience larger changes in serum\theophylline concentration than the value\listed.','Effect\Average|effect|on|steady-state|theophylline','NN|NN|IN|JJ|NN'
"'For patients with HoFH, do not exceed 20 mg simvastatin daily*'","'For|patients|with|HoFH|,|do|not|exceed|20|mg|simvastatin|daily*'","'IN|NNS|IN|NN|,|VBP|RB|VB|CD|NN|NN|NN'"
"'Gastrointestinal Agents\cimetidineranitidine\Immunosuppressives\tacrolimus\Other Drugs\fibric acid derivatives(e.g., bezafibrate, fenofibrate)'",'Gastrointestinal|Agents','JJ|NNS'
"'Iodide and drugs that contain pharmacologic amounts of iodide may cause hyperthyroidism in euthyroid patients with Grave's disease previously treated with antithyroid drugs or in euthyroid patients with thyroid autonomy (e.g., multinodular goiter or hyper functioning thyroid adenoma). Hyperthyroidism may develop over several weeks and may persist for several months after therapy discontinuation. Amiodarone may induce hyperthyroidism by causing thyroiditis.'","'Iodide|and|drugs|that|contain|pharmacologic|amounts|of|iodide|may|cause|hyperthyroidism|in|euthyroid|patients|with|Grave|'s|disease|previously|treated|with|antithyroid|drugs|or|in|euthyroid|patients|with|thyroid|autonomy|(|e.g.|,|multinodular|goiter|or|hyper|functioning|thyroid|adenoma|)|.|Hyperthyroidism|may|develop|over|several|weeks|and|may|persist|for|several|months|after|therapy|discontinuation.|Amiodarone|may|induce|hyperthyroidism|by|causing|thyroiditis|.'","'NN|CC|NNS|WDT|VBP|JJ|NNS|IN|NN|MD|VB|NN|IN|JJ|NNS|IN|NN|POS|NN|RB|VBN|IN|JJ|NNS|CC|IN|JJ|NNS|IN|NN|NN|(|FW|,|JJ|NN|CC|NN|VBG|JJ|NN|)|.|NN|MD|VB|IN|JJ|NNS|CC|MD|VB|IN|JJ|NNS|IN|NN|NN|NN|MD|VB|NN|IN|VBG|NN|.'"
"'lomefloxacin\mebendazole\medroxyprogesterone\methylprednisolone\metronidazole\metoprolol\nadolol\nifedipine\nizatidine\norfloxacin\ofloxacin\omeprazole\prednisone, prednisolone\ranitidine\rifabutin\roxithromycin\sorbitol\(purgative doses do not inhibit\theophylline absorption)\sucralfate\terbutaline, systemic\terfenadine\tetracycline\tocainide'","'lomefloxacin\mebendazole\medroxyprogesterone\methylprednisolone\metronidazole\metoprolol|adolol|ifedipine|izatidine|orfloxacin\ofloxacin\omeprazole\prednisone|,|prednisolone|anitidine|ifabutin|oxithromycin\sorbitol\|(|purgative|doses|do|not|inhibit|heophylline|absorption|)|\sucralfate|erbutaline|,|systemic|erfenadine|etracycline|ocainide'","'NN|NN|NN|NN|NN|,|NN|NN|NN|NN|(|JJ|NNS|VBP|RB|VB|NN|NN|)|VBP|NN|,|JJ|NN|NN|NN'"
"'lomefloxacin\mebendazole\medroxyprogesterone\methylprednisolone\metronidazole\metoprolol\nadolol\nifedipine\nizatidine\norfloxacin\ofloxacin\omeprazole\prednisone, prednisolone\ranitidine\rifabutin\roxithromycin\sorbitol\ (purgative doses do not inhibit\ theophylline absorption)\sucralfate\terbutaline, systemic\terfenadine\tetracycline\tocainide'","'lomefloxacin\mebendazole\medroxyprogesterone\methylprednisolone\metronidazole\metoprolol|adolol|ifedipine|izatidine|orfloxacin\ofloxacin\omeprazole\prednisone|,|prednisolone|anitidine|ifabutin|oxithromycin\sorbitol\|(|purgative|doses|do|not|inhibit\|theophylline|absorption|)|\sucralfate|erbutaline|,|systemic|erfenadine|etracycline|ocainide'","'NN|NN|NN|NN|NN|,|NN|NN|NN|NN|(|JJ|NNS|VBP|RB|VB|NN|NN|)|VBP|NN|,|JJ|NN|NN|NN'"
